날짜,가격_만원,전용면적_㎡,층,건축년도,단지명,도시,행정구역,년,월,만원_per_㎡,경과년수
2023-03-23,25000,84.96,5,2007,삼도쉐르빌,제주시,제주시,2023,3,294.25612052730696,16
2023-03-24,34500,79.56,3,2018,일도세원멤버스(2차),제주시,제주시,2023,3,433.6349924585219,5
2023-03-24,24500,62.42,3,2004,장원훼밀리,제주시,제주시,2023,3,392.5024030759372,19
2023-03-24,23000,84.55,5,2014,태흥그린피아,제주시,제주시,2023,3,272.02838557066826,9
2023-03-24,12600,49.68,4,2014,서귀포의꿈,서귀포시,서귀포시,2023,3,253.6231884057971,9
2023-03-24,45000,57.03,1,2001,해오름,제주시,제주시,2023,3,789.0583903208837,22
2023-03-24,98000,110.63,6,2005,노형이-편한세상,제주시,제주시,2023,3,885.8356684443642,18
2023-03-24,67000,80.6583,8,2001,부영1차,제주시,제주시,2023,3,830.6646681122712,22
2023-03-24,33000,81.12,2,2017,하귀올레,제주시,애월읍,2023,3,406.8047337278106,6
2023-03-25,24000,52.32,3,1992,수선화(70)1차,제주시,제주시,2023,3,458.7155963302752,31
2023-03-25,22500,59.58,2,2001,탐라빌,제주시,제주시,2023,3,377.64350453172204,22
2023-03-26,14200,59.755,3,1996,도남일우,제주시,제주시,2023,3,237.63701782277633,27
2023-03-26,26000,80.72,2,2020,모다세인트빌,제주시,제주시,2023,3,322.10109018830525,3
2023-03-26,29300,84.97,4,2016,서홍에이원시티빌,서귀포시,서귀포시,2023,3,344.82758620689657,7
2023-03-27,51500,138.14,4,2010,타워프로빌,제주시,제주시,2023,3,372.81019255827425,13
2023-03-27,24700,71.13,2,2013,네스트힐,서귀포시,서귀포시,2023,3,347.2515113173064,10
2023-03-27,27200,84.9455,6,2017,서귀포화순코아루푸르나임,서귀포시,안덕면,2023,3,320.2053081093172,6
2023-03-27,33000,84.7188,6,2017,이호재영샤르빌12차,제주시,제주시,2023,3,389.5239309338659,6
2023-03-27,35000,84.3708,3,2013,지오빌Ⅱ-2차,서귀포시,서귀포시,2023,3,414.83546440237615,10
2023-03-27,19000,56.75,2,2019,더그라벨아파트,서귀포시,대정읍,2023,3,334.80176211453744,4
2023-03-27,19900,52.25,5,1984,유나이티드,제주시,제주시,2023,3,380.8612440191388,39
2023-03-27,6000,40.0,3,1996,남원에덴아파트,서귀포시,서귀포시,2023,3,150.0,27
2023-03-28,47000,84.65,10,2010,타워프로빌,제주시,제주시,2023,3,555.2274069698759,13
2023-03-28,18400,39.69,1,1988,주공1,서귀포시,서귀포시,2023,3,463.59284454522555,35
2023-03-28,82000,110.63,3,2005,노형이-편한세상,제주시,제주시,2023,3,741.2094368616108,18
2023-03-28,37000,84.93,7,2013,장원스카이팰리스,제주시,제주시,2023,3,435.6528906158012,10
2023-03-29,54000,75.79,4,2006,노형뜨란채,제주시,제주시,2023,3,712.4950521176936,17
2023-03-29,5800,28.62,7,2012,미도스카이빌,제주시,제주시,2023,3,202.6554856743536,11
