feature,importance_mean,importance_std
전용면적_㎡,6691.557967272932,185.83449555693508
단지명,4903.9069264962955,187.15514731851238
건축년도,2165.8781337601504,70.98883369650919
경과년수,1517.1708005050782,73.41109956049847
행정구역,1279.330240924154,50.28034243469218
도시,1073.6102843747205,65.1424173139791
층,288.0630225301519,43.24894258967989
날짜,0.0,0.0
년,0.0,0.0
만원_per_㎡,0.0,0.0
거래유형,0.0,0.0
월,-23.82237981539465,21.273493004118254
