날짜,가격_만원
2023-03-07,23000
2023-03-07,80000
2023-03-07,26500
2023-03-07,23500
2023-03-07,101200
2023-03-07,42000
2023-03-08,45000
2023-03-08,50500
2023-03-08,51500
2023-03-08,68000
2023-03-08,20500
2023-03-08,55000
2023-03-08,33000
2023-03-08,15700
2023-03-09,40000
2023-03-09,44000
2023-03-09,15700
2023-03-09,15700
2023-03-09,15700
2023-03-09,36000
2023-03-09,44000
2023-03-09,19700
2023-03-09,5550
2023-03-10,58000
2023-03-10,63000
2023-03-10,20700
2023-03-10,21000
2023-03-10,63000
2023-03-10,31500
2023-03-10,17400
2023-03-10,33000
2023-03-10,32000
2023-03-10,84000
2023-03-10,17400
2023-03-11,19000
2023-03-12,27500
2023-03-12,27500
2023-03-12,15600
2023-03-12,30500
2023-03-13,17000
2023-03-13,19800
2023-03-13,14500
2023-03-13,18000
2023-03-13,31000
2023-03-13,8200
2023-03-13,10700
2023-03-13,22000
2023-03-14,32500
2023-03-14,29000
2023-03-14,19500
2023-03-14,12700
2023-03-14,35900
2023-03-15,26500
2023-03-15,17500
2023-03-15,50000
2023-03-15,34000
2023-03-15,17500
2023-03-16,33000
2023-03-16,30500
2023-03-16,20600
2023-03-16,24500
2023-03-16,28000
2023-03-16,40000
2023-03-17,38500
2023-03-17,22900
2023-03-17,14000
2023-03-17,10000
2023-03-17,24000
2023-03-18,16500
2023-03-18,24000
2023-03-18,51950
2023-03-18,65300
2023-03-18,52500
2023-03-18,19500
2023-03-19,19500
2023-03-20,34000
2023-03-20,47800
2023-03-20,5950
2023-03-20,56000
2023-03-20,35000
2023-03-20,56000
2023-03-20,20900
2023-03-21,27500
2023-03-21,25500
2023-03-21,42750
2023-03-21,55000
2023-03-21,24000
2023-03-22,32500
2023-03-22,22300
2023-03-22,13300
2023-03-22,20000
2023-03-23,47700
2023-03-23,18000
2023-03-23,47500
2023-03-23,8400
2023-03-23,36000
2023-03-23,62000
2023-03-23,49500
2023-03-23,35300
2023-03-23,25300
2023-03-23,10000
2023-03-23,25000
2023-03-24,34500
2023-03-24,24500
2023-03-24,23000
2023-03-24,12600
2023-03-24,45000
2023-03-24,98000
2023-03-24,67000
2023-03-24,33000
2023-03-25,24000
2023-03-25,22500
2023-03-26,14200
2023-03-26,26000
2023-03-26,29300
2023-03-27,51500
2023-03-27,24700
2023-03-27,27200
2023-03-27,33000
2023-03-27,35000
2023-03-27,19000
2023-03-27,19900
2023-03-27,6000
2023-03-28,47000
2023-03-28,18400
2023-03-28,82000
2023-03-28,37000
2023-03-29,54000
2023-03-29,5800
2023-03-29,34300
2023-03-29,26700
2023-03-29,15750
2023-03-29,33500
2023-03-29,31000
2023-03-29,23500
2023-03-29,17800
2023-03-29,23000
2023-03-30,21500
2023-03-30,25000
2023-03-30,54500
2023-03-30,21000
2023-03-30,35000
2023-03-30,34500
2023-03-31,8450
2023-03-31,22500
2023-03-31,12500
2023-03-31,21000
2023-03-31,10000
2023-03-31,17100
2023-03-31,27000
2023-03-31,39500
2023-04-01,26000
2023-04-01,24500
2023-04-01,27500
2023-04-01,26500
2023-04-01,52000
2023-04-03,20000
2023-04-03,49000
2023-04-03,18500
2023-04-03,29500
2023-04-03,23500
2023-04-03,10000
2023-04-03,53000
2023-04-03,31000
2023-04-03,43000
2023-04-03,52000
2023-04-03,20500
2023-04-03,26000
2023-04-04,27890
2023-04-04,32000
2023-04-04,51600
2023-04-04,29500
2023-04-05,68000
2023-04-05,23000
2023-04-05,7300
2023-04-05,35000
2023-04-05,18700
2023-04-05,12000
2023-04-05,57700
2023-04-05,57700
2023-04-05,10500
2023-04-05,10500
2023-04-06,23500
2023-04-06,14300
2023-04-06,46800
2023-04-06,30000
2023-04-06,11000
2023-04-07,85000
2023-04-07,38000
2023-04-07,11800
2023-04-08,28000
2023-04-08,36500
2023-04-08,31800
2023-04-08,29500
2023-04-09,15700
2023-04-09,27500
2023-04-10,65000
2023-04-10,16000
2023-04-10,41000
2023-04-10,21800
2023-04-10,31700
2023-04-10,7000
2023-04-10,15000
2023-04-10,40000
2023-04-10,40000
2023-04-10,33000
2023-04-11,49900
2023-04-11,22000
2023-04-11,31500
2023-04-11,31500
2023-04-11,33000
2023-04-11,34400
2023-04-11,72500
2023-04-11,5500
2023-04-11,36600
2023-04-11,34000
2023-04-12,50000
2023-04-12,46000
2023-04-12,48000
2023-04-12,25000
2023-04-12,24250
2023-04-12,55000
2023-04-12,33000
2023-04-12,14500
2023-04-12,30000
2023-04-12,50500
2023-04-13,8500
2023-04-13,36000
2023-04-13,25300
2023-04-13,64000
2023-04-13,14300
2023-04-13,9500
2023-04-14,30500
2023-04-14,30500
2023-04-14,10500
2023-04-14,28500
2023-04-14,31500
2023-04-14,6500
2023-04-14,19000
2023-04-14,16800
2023-04-14,33500
2023-04-15,32000
2023-04-15,8000
2023-04-16,16000
2023-04-17,79000
2023-04-17,29000
2023-04-17,45800
2023-04-17,9500
2023-04-18,30400
2023-04-18,49000
2023-04-18,96000
2023-04-18,26000
2023-04-18,26400
2023-04-18,38800
2023-04-18,30000
2023-04-18,12500
2023-04-18,39800
2023-04-19,51000
2023-04-19,54500
2023-04-19,44000
2023-04-19,43000
2023-04-20,52000
2023-04-20,52000
2023-04-20,18700
2023-04-20,63000
2023-04-20,32000
2023-04-20,36500
2023-04-21,115650
2023-04-21,35000
2023-04-21,55500
2023-04-21,30800
2023-04-21,35000
2023-04-21,35000
2023-04-22,11000
2023-04-23,14200
2023-04-23,19700
2023-04-23,11700
2023-04-23,60000
2023-04-23,11000
2023-04-23,13500
2023-04-24,20500
2023-04-24,21500
2023-04-24,20000
2023-04-24,37000
2023-04-25,25600
2023-04-25,27000
2023-04-25,25600
2023-04-25,25600
2023-04-25,25600
2023-04-25,25600
2023-04-25,25000
2023-04-25,21500
2023-04-25,12500
2023-04-25,41609
2023-04-25,50000
2023-04-25,27000
2023-04-25,25600
2023-04-25,12700
2023-04-26,34300
2023-04-26,23000
2023-04-26,50000
2023-04-26,28000
2023-04-26,35600
2023-04-26,29000
2023-04-26,6850
2023-04-26,29800
2023-04-26,20000
2023-04-26,22900
2023-04-26,35250
2023-04-26,23000
2023-04-26,39000
2023-04-27,21000
2023-04-27,36800
2023-04-27,51000
2023-04-27,60500
2023-04-27,40500
2023-04-28,29500
2023-04-28,19300
2023-04-28,45000
2023-04-28,52000
2023-04-28,35000
2023-04-29,39000
2023-04-29,46500
2023-04-30,40000
2023-05-01,18000
2023-05-01,18000
2023-05-01,29000
2023-05-01,6500
2023-05-01,36000
2023-05-01,29000
2023-05-01,22000
2023-05-02,18000
2023-05-02,18000
2023-05-02,28300
2023-05-02,36200
2023-05-02,89000
2023-05-02,52600
2023-05-02,37000
2023-05-02,37300
2023-05-02,33000
2023-05-03,52000
2023-05-03,19500
2023-05-03,29000
2023-05-03,37000
2023-05-03,61200
2023-05-03,36500
2023-05-04,10000
2023-05-04,26000
2023-05-04,36200
2023-05-04,22450
2023-05-04,7500
2023-05-05,36800
2023-05-05,41000
2023-05-05,43000
2023-05-06,28500
2023-05-06,16000
2023-05-06,44000
2023-05-06,29500
2023-05-07,23700
2023-05-07,20000
2023-05-07,57900
2023-05-08,69000
2023-05-08,30000
2023-05-08,30000
2023-05-08,18000
2023-05-08,22000
2023-05-08,40000
2023-05-08,34000
2023-05-08,5800
2023-05-08,21000
2023-05-09,15000
2023-05-09,32000
2023-05-09,34700
2023-05-09,24000
2023-05-09,33000
2023-05-09,39175
2023-05-09,23500
2023-05-09,49500
2023-05-10,25500
2023-05-10,32000
2023-05-10,16100
2023-05-10,46500
2023-05-10,66900
2023-05-10,22800
2023-05-10,19300
2023-05-10,21000
2023-05-10,16000
2023-05-10,26500
2023-05-11,41800
2023-05-11,30000
2023-05-11,32200
2023-05-11,28000
2023-05-11,16300
2023-05-11,85000
2023-05-11,12000
2023-05-12,35000
2023-05-12,30000
2023-05-12,11800
2023-05-12,52000
2023-05-12,63500
2023-05-12,32500
2023-05-12,14300
2023-05-12,63500
2023-05-13,41200
2023-05-13,80700
2023-05-13,80700
2023-05-13,15500
2023-05-13,7000
2023-05-13,26000
2023-05-14,11300
2023-05-14,30000
2023-05-15,9400
2023-05-15,37000
2023-05-15,25300
2023-05-15,20600
2023-05-15,35500
