날짜,가격_만원,전용면적_㎡,행정구역,단가_만원_per_㎡
2023-01-27,14000,81.03,제주시,172.77551524126866
2023-01-27,36000,59.8882,서귀포시,601.1200870956216
2023-01-27,25000,81.0695,서귀포시,308.37737990242937
2023-01-27,43500,77.02,제주시,564.7883666580109
2023-01-27,18000,69.3757,제주시,259.4568415165541
2023-01-27,27500,49.5,제주시,555.5555555555555
2023-01-27,40000,77.02,제주시,519.3456245131135
2023-01-28,69500,84.9753,제주시,817.8847265028778
2023-01-28,38500,84.94,서귀포시,453.2611255003532
2023-01-28,64500,84.95,제주시,759.27015891701
2023-01-28,37300,69.0372,제주시,540.2884242118741
2023-01-28,5600,15.2,서귀포시,368.42105263157896
2023-01-28,59500,84.991,서귀포시,700.0741254956407
2023-01-28,24800,67.32,제주시,368.38978015448606
2023-01-29,33500,84.9898,제주시,394.16494685244584
2023-01-30,27000,59.933,제주시,450.5030617522901
2023-01-30,28000,59.82,제주시,468.0708793045804
2023-01-30,40000,139.01,제주시,287.7490827997986
2023-01-30,28000,84.41,제주시,331.71425186589266
2023-01-30,28000,84.41,제주시,331.71425186589266
2023-01-30,11000,27.68,서귀포시,397.39884393063585
2023-01-30,17500,42.75,제주시,409.3567251461988
2023-01-30,36500,84.65,서귀포시,431.18724158298875
2023-01-30,43500,83.81,제주시,519.0311418685121
2023-01-30,27500,76.18,서귀포시,360.987135731163
2023-01-30,35400,61.3849,제주시,576.6890554517479
2023-01-31,26200,72.8309,한림읍,359.7374191448959
2023-01-31,44000,84.53,제주시,520.5252573050988
2023-01-31,7200,23.5425,제주시,305.82988212806623
2023-01-31,35800,84.978,서귀포시,421.28550919061405
2023-01-31,22000,47.71,제주시,461.1192622091805
2023-01-31,46500,141.95,제주시,327.5801338499472
2023-01-31,21000,53.89,제주시,389.68268695490815
2023-01-31,27000,53.65,제주시,503.2618825722274
2023-01-31,114000,115.1601,제주시,989.9261983968406
2023-01-31,39000,49.2072,제주시,792.5669414232063
2023-01-31,13000,44.28,제주시,293.5862691960253
2023-02-01,20850,65.33,제주시,319.1489361702128
2023-02-01,19800,49.87,서귀포시,397.03228393823946
2023-02-01,29500,59.98,제주시,491.83061020340114
2023-02-01,16500,44.6269,제주시,369.7321570622203
2023-02-01,66800,84.9508,제주시,786.3375035903134
2023-02-01,16500,59.16,제주시,278.90466531440165
2023-02-01,19800,49.87,서귀포시,397.03228393823946
2023-02-01,31500,77.5619,제주시,406.12723515024777
2023-02-01,22000,59.58,제주시,369.2514266532394
2023-02-02,50000,84.3616,제주시,592.6867200242765
2023-02-02,18000,47.01,서귀포시,382.8972559029994
2023-02-02,9700,18.44,서귀포시,526.0303687635575
2023-02-02,33100,79.33,제주시,417.2444220345393
2023-02-02,50000,84.3616,제주시,592.6867200242765
2023-02-03,12500,55.2093,서귀포시,226.41113000889342
2023-02-03,6400,15.2,서귀포시,421.0526315789474
2023-02-03,19000,59.83,제주시,317.5664382416848
2023-02-03,5000,15.86,서귀포시,315.2585119798235
2023-02-03,40000,84.72,애월읍,472.14353163361665
2023-02-04,18500,78.85,제주시,234.6227013316424
2023-02-04,19000,73.2642,서귀포시,259.3353916373891
2023-02-05,13000,83.7,서귀포시,155.31660692951016
2023-02-05,36500,84.859,서귀포시,430.12526661874404
2023-02-05,33000,45.9078,제주시,718.8320938925411
2023-02-05,104500,108.4439,제주시,963.6318870863183
2023-02-06,35700,59.93,제주시,595.6949774737193
2023-02-06,38000,84.88,제주시,447.69085768143265
2023-02-06,28800,84.78,제주시,339.70276008492567
2023-02-06,6200,15.2,서귀포시,407.89473684210526
2023-02-06,13000,83.26,서귀포시,156.13740091280326
2023-02-06,9500,39.3,제주시,241.73027989821884
2023-02-07,15000,84.09,한림읍,178.38030681412772
2023-02-07,69000,110.9718,서귀포시,621.7795872464897
2023-02-07,11900,22.3279,제주시,532.965482647271
2023-02-07,36000,59.93,제주시,600.7008176205574
2023-02-08,50500,84.3616,제주시,598.6135872245193
2023-02-08,21500,90.36,서귀포시,237.9371403275786
2023-02-08,21500,49.87,서귀포시,431.1209143773812
2023-02-09,41500,84.8537,애월읍,489.07708208363334
2023-02-09,17500,42.75,제주시,409.3567251461988
2023-02-09,27800,59.933,제주시,463.8513006190246
2023-02-09,50200,84.991,서귀포시,590.6507747879187
2023-02-09,21400,51.88,서귀포시,412.49036237471086
2023-02-10,32000,59.97,제주시,533.6001334000333
2023-02-10,30000,84.8208,제주시,353.6868315318884
2023-02-10,20000,84.21,한림읍,237.50148438427743
2023-02-10,10800,56.49,제주시,191.18428040361124
2023-02-10,35000,45.9078,제주시,762.3976753405739
2023-02-10,20000,84.21,한림읍,237.50148438427743
2023-02-11,48500,84.94,서귀포시,570.9912879679774
2023-02-11,43500,84.94,서귀포시,512.1262067341653
2023-02-11,47000,84.3616,제주시,557.1255168228199
2023-02-11,70000,80.6583,제주시,867.8586084755073
2023-02-11,38500,45.9078,제주시,838.6374428746313
2023-02-11,25900,58.9336,제주시,439.4776494224008
2023-02-13,39000,83.28,제주시,468.299711815562
2023-02-13,11000,43.9,제주시,250.56947608200457
2023-02-13,33000,80.73,제주시,408.7699739873653
2023-02-13,20000,54.81,제주시,364.8969166210545
2023-02-14,56000,101.8684,제주시,549.7288658700834
2023-02-14,45000,84.9873,제주시,529.4908768721915
2023-02-14,25500,84.639,제주시,301.2795519795839
2023-02-14,31000,84.6909,제주시,366.03696501040844
2023-02-14,49700,84.991,서귀포시,584.7677989434176
2023-02-14,45000,84.9873,제주시,529.4908768721915
2023-02-15,34500,84.65,서귀포시,407.56054341405786
2023-02-15,64000,84.67,제주시,755.8757529231133
2023-02-15,21500,84.8172,제주시,253.48632117070593
2023-02-15,35700,69.0372,제주시,517.112513253724
2023-02-15,40000,84.94,서귀포시,470.92064987049685
2023-02-15,27000,49.5,제주시,545.4545454545455
2023-02-16,59500,84.98,제주시,700.164744645799
2023-02-16,64000,80.6583,제주시,793.4707277490352
2023-02-16,14000,84.09,한림읍,166.48828635985254
2023-02-17,22500,49.87,서귀포시,451.1730499298175
2023-02-17,12000,22.3279,제주시,537.444184182122
2023-02-17,35000,79.83,제주시,438.43166729299764
2023-02-17,15000,54.6,제주시,274.72527472527474
2023-02-17,14800,48.97,제주시,302.22585256279353
2023-02-18,44000,84.84,애월읍,518.6232909005186
2023-02-18,8000,27.86,서귀포시,287.1500358937545
2023-02-18,26300,84.97,제주시,309.52100741438153
2023-02-18,26300,84.97,제주시,309.52100741438153
2023-02-18,31000,84.91,대정읍,365.0924508302909
2023-02-18,15500,59.94,제주시,258.5919252585919
2023-02-19,25600,84.24,제주시,303.89363722697055
2023-02-19,25800,59.97,제주시,430.2151075537769
2023-02-19,10500,42.48,제주시,247.17514124293788
2023-02-19,25800,59.97,제주시,430.2151075537769
2023-02-20,15500,59.62,서귀포시,259.979872525998
2023-02-20,34500,84.6725,제주시,407.4522424636098
2023-02-20,31000,178.98,제주시,173.203709911722
2023-02-20,38000,74.94,서귀포시,507.07232452628773
2023-02-20,11900,22.3279,제주시,532.965482647271
2023-02-20,24000,59.99,서귀포시,400.0666777796299
2023-02-20,5950,15.2,서귀포시,391.44736842105266
2023-02-21,9400,30.33,제주시,309.9241674909331
2023-02-21,25000,84.28,제주시,296.6302800189843
2023-02-21,50000,84.3616,제주시,592.6867200242765
2023-02-21,44500,73.9049,제주시,602.1251635547846
2023-02-21,31000,59.98,서귀포시,516.8389463154385
2023-02-21,30500,84.9237,서귀포시,359.14591568666935
2023-02-21,95000,108.4439,제주시,876.0289882602895
2023-02-21,48500,84.7938,제주시,571.9757812481573
2023-02-21,16000,39.84,제주시,401.60642570281124
2023-02-21,24000,49.896,제주시,481.000481000481
2023-02-21,40000,74.94,서귀포시,533.7603416066187
2023-02-21,30500,84.9237,서귀포시,359.14591568666935
2023-02-22,19500,49.87,서귀포시,391.01664327250853
2023-02-22,9800,39.73,제주시,246.66498867354645
2023-02-22,19000,84.88,제주시,223.84542884071632
2023-02-22,31000,84.967,서귀포시,364.84752904068637
2023-02-22,28000,80.9348,서귀포시,345.95748676712617
2023-02-22,24200,74.2895,안덕면,325.7526299140524
2023-02-22,34500,84.9096,제주시,406.3144803414455
2023-02-22,9000,59.85,한림읍,150.37593984962405
2023-02-22,34900,84.978,서귀포시,410.69453270258185
2023-02-22,19000,39.0,서귀포시,487.1794871794872
2023-02-22,51000,59.56,제주시,856.2793821356615
2023-02-23,46000,84.9789,서귀포시,541.3108430445676
2023-02-23,44500,84.94,서귀포시,523.8992229809277
2023-02-23,26100,59.58,제주시,438.0664652567976
2023-02-23,30000,59.965,제주시,500.29183690486116
2023-02-23,26100,59.58,제주시,438.0664652567976
2023-02-23,78000,84.98,제주시,917.8630265944928
2023-02-23,39200,83.8031,제주시,467.7631257077602
2023-02-23,49950,84.7938,제주시,589.0760881102156
2023-02-23,26000,59.97,서귀포시,433.55010838752713
2023-02-24,20500,49.896,제주시,410.8545775212442
2023-02-24,18000,42.75,제주시,421.05263157894734
2023-02-24,18000,42.75,제주시,421.05263157894734
2023-02-24,14000,67.59,제주시,207.13123243083297
2023-02-24,41000,57.03,제주시,718.9198667368051
2023-02-25,44500,84.9921,서귀포시,523.5780737268523
2023-02-25,31200,84.566,서귀포시,368.94260104533737
2023-02-25,24000,46.32,제주시,518.1347150259068
2023-02-26,40500,84.85,애월읍,477.3129051266942
2023-02-27,21000,59.83,제주시,350.99448437238846
2023-02-27,15600,59.95,제주시,260.21684737281066
2023-02-27,27000,59.93,제주시,450.525613215418
2023-02-28,13760,84.96,서귀포시,161.95856873822976
2023-02-28,13000,53.89,제주시,241.23213954351456
2023-02-28,4000,18.0625,제주시,221.45328719723184
2023-02-28,32000,84.91,제주시,376.8696266635261
2023-02-28,11500,48.58,서귀포시,236.72293124742694
2023-03-01,42000,84.87,제주시,494.8745139625309
2023-03-01,36000,83.16,제주시,432.9004329004329
2023-03-02,50000,59.957,제주시,833.9309838717747
2023-03-02,13800,40.69,제주시,339.1496682231507
